Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
5, 1, Settle New City running, TARGET 65:32
5, 1, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
19, 6, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; 
19, Settle New City, 6, , Battle line, 17:40, 0 endangered
19, 6, Settle New City, No recruits to reach minimum, , , 
19, 6, Settle New City, Recruiting strength, , Enemy Str: 2 / 20.0, UNIT_WARRIOR
19, 6, Settle New City, No recruits to reach minimum, , , 
19, 6, Settle New City, No recruits to match strength, , Enemy Str: 2 / 20.0, 
19, Settle New City, 6, , Battle line, 17:40, 0 endangered
19, 6, Settle New City, Operation Recruit, 3 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
19, 6, Settle New City, Op Attack Units Targets, Target 0, Owner 63, UNIT_SLINGER, 16:39
19, 6, Settle New City, Operation Attack Units, UNIT_WARRIOR, At 15:41, Move 16:40, Attack -9999:-9999
19, 6, Settle New City, Operation Move, UNIT_WARRIOR, 17:43, 15:41, 17:43
19, 6, Barb Camp Tech Boost, No recruits to reach minimum, , , 
19, 6, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 0 / 20.0, 
19, 6, Barb Camp Tech Boost, No recruits to reach minimum, , , 
19, 6, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 0 / 20.0, 
19, 6, Barb Camp Tech Boost, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 6, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 18:44, 13:44, 17:45
19, 7, Settle New City running, TARGET 35:42
19, 7, Settle New City, ,0, Not Ready, UNIT_WARRIOR; 
19, 7, Naval Superiority running, TARGET 44:44
19, 7, Naval Superiority, ,0, Not Ready, 
19, 7, Settle New City, No recruits to reach minimum, , , 
19, 7, Settle New City, No recruits to reach minimum, , , 
19, 7, Settle New City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_SETTLER
19, 7, Settle New City, Operation Move, UNIT_WARRIOR, 39:46, 39:46, 39:46
19, 7, Naval Superiority, No recruits to reach minimum, , , 
19, 7, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 8, Settle New City running, TARGET 39:12
19, 8, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
19, 8, Naval Superiority running, TARGET 33:17
19, 8, Naval Superiority, ,0, Not Ready, 
19, 8, Attack Walled City, Started
19, 8, Settle New City, No recruits to reach minimum, , , 
19, 8, Settle New City, Recruiting strength, , Enemy Str: 0 / 28.0, UNIT_WARRIOR
19, 8, Settle New City, Operation Recruit, 3 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
19, 8, Settle New City, Operation Move, UNIT_WARRIOR, 38:15, 39:12, 37:15
19, 8, Settle New City, Operation Move, UNIT_SETTLER, 36:15, 39:12, 35:15
19, 8, Settle New City, Operation Move, UNIT_WARRIOR, 35:15, 39:12, 35:16
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_WARRIOR
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_HEAVY_CHARIOT
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_WARRIOR
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_WARRIOR
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_WARRIOR
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_WARRIOR
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_HEAVY_CHARIOT
19, 8, Attack Walled City, Recruiting minimums, , , UNIT_SLINGER
19, Attack Walled City, 8, , Battle line, 26:15, 0 endangered
19, 8, Attack Walled City, Operation Recruit, 6 units, Recruited 6, Contract for: NONE
19, 8, Attack Walled City, Operation complete
19, 8, Naval Superiority, No recruits to reach minimum, , , 
19, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 9, Settle New City, Started
19, 9, Settle New City running, TARGET 87:35
19, 9, Settle New City, ,0, Not Ready, 
19, 9, Naval Superiority running, TARGET 81:36
19, 9, Naval Superiority, ,0, Not Ready, 
19, 9, Barb Camp Tech Boost running, TARGET 85:43
19, Barb Camp Tech Boost, 9, , Battle line, 83:37, 0 endangered
19, 9, Barb Camp Tech Boost, ,0, Ready, UNIT_SUMERIAN_WAR_CART; UNIT_WARRIOR; 
19, 9, Barb Camp Tech Boost, No recruits to reach minimum, , , 
19, 9, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 35 / 30.0, UNIT_WARRIOR
19, Barb Camp Tech Boost, 9, , Battle line, 84:38, 0 endangered
19, 9, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
19, 9, Barb Camp Tech Boost, Op Attack Units Targets, Target 0, Owner 63, UNIT_SCOUT, 84:40
19, 9, Barb Camp Tech Boost, Operation Attack Units, UNIT_WARRIOR, At 86:40, Move 85:40, Attack -9999:-9999
19, 9, Barb Camp Tech Boost, Operation Attack Units, UNIT_SUMERIAN_WAR_CART, At 82:39, Move 83:40, Attack -9999:-9999
19, 9, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 86:30, 85:42, 86:30
19, 9, Naval Superiority, No recruits to reach minimum, , , 
19, 9, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 10, Naval Superiority running, TARGET 14:50
19, 10, Naval Superiority, ,0, Not Ready, 
19, 10, Attack Barb Camp running, TARGET 12:55
19, Attack Barb Camp, 10, , Battle line, 12:53, 0 endangered
19, 10, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
19, 10, Attack Barb Camp, No recruits to reach minimum, , , 
19, 10, Attack Barb Camp, No recruits to match strength, , Enemy Str: 18 / 12.5, 
19, 10, Attack Barb Camp, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 10, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Fortify
19, 10, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Move 12 51
19, 10, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Fortify
19, 10, Attack Barb Camp, Attack Target Move, UNIT_WARRIOR, At 13:52, Move 12:54, Arrive 12:54
19, 10, Naval Superiority, No recruits to reach minimum, , , 
19, 10, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 11, Naval Superiority running, TARGET 83:17
19, 11, Naval Superiority, ,0, Not Ready, 
19, 11, Naval Superiority, No recruits to reach minimum, , , 
19, 11, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 13, Naval Superiority running, TARGET 29:45
19, 13, Naval Superiority, ,0, Not Ready, 
19, 13, Naval Superiority, No recruits to reach minimum, , , 
19, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 14, Naval Superiority running, TARGET 79:26
19, 14, Naval Superiority, ,0, Not Ready, 
19, 14, Naval Superiority, No recruits to reach minimum, , , 
19, 14, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 15, Naval Superiority running, TARGET 66:18
19, 15, Naval Superiority, ,0, Not Ready, 
19, 15, Naval Superiority, No recruits to reach minimum, , , 
19, 15, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 16, Attack Barb Camp, Started
19, 16, Attack Barb Camp, Recruiting minimums, , , UNIT_WARRIOR
19, 16, Attack Barb Camp, Recruiting minimums, , , UNIT_WARRIOR
19, 16, Attack Barb Camp, Recruiting strength, , Enemy Str: 32 / 0.0, UNIT_WARRIOR
19, 16, Attack Barb Camp, Recruiting strength, , Enemy Str: 32 / 0.0, UNIT_WARRIOR
19, 16, Attack Barb Camp, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
19, 16, Attack Barb Camp, No recruits to reach minimum, , , 
19, 16, Attack Barb Camp, Recruiting strength, , Enemy Str: 32 / 12.5, UNIT_WARRIOR
19, 16, Attack Barb Camp, Recruiting strength, , Enemy Str: 32 / 12.5, UNIT_WARRIOR
19, Attack Barb Camp, 16, , Battle line, 31:10, 0 endangered
19, 16, Attack Barb Camp, Operation Recruit, 3 units, Recruited 2, Contract for: UNIT_WARRIOR_MONK
19, Attack Barb Camp, 16, , Battle line, 31:10, 0 endangered
19, 16, Attack Barb Camp, No recruits to reach minimum, , , 
19, 16, Attack Barb Camp, No recruits to match strength, , Enemy Str: 32 / 12.5, 
19, Attack Barb Camp, 16, , Battle line, 31:10, 0 endangered
19, 16, Attack Barb Camp, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 16, Attack Barb Camp, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 33:10
19, 16, Attack Barb Camp, Operation Attack Units, UNIT_WARRIOR, At 31:11, Move 32:10, Attack -9999:-9999
19, 16, Attack Barb Camp, Attack Target Move Direct, UNIT_WARRIOR, At 29:12, Move -9999:-9999, Arrive 29:12
19, 16, Attack Barb Camp, Attack Target Move Direct, UNIT_WARRIOR, At 30:11, Move -9999:-9999, Arrive 30:11
19, 16, Attack Barb Camp, Attack Target Melee Attack, UNIT_WARRIOR, At 30:10
19, 16, Attack Barb Camp, Attack Target Melee Attack, UNIT_WARRIOR, At 30:9
19, 17, Naval Superiority running, TARGET 95:22
19, 17, Naval Superiority, ,0, Not Ready, 
19, 17, Naval Superiority, No recruits to reach minimum, , , 
19, 17, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 18, Naval Superiority running, TARGET 28:18
19, 18, Naval Superiority, ,0, Not Ready, 
19, 18, Attack Barb Camp running, TARGET 21:17
19, Attack Barb Camp, 18, , Battle line, 21:16, 0 endangered
19, 18, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
19, 18, Attack Barb Camp, No recruits to reach minimum, , , 
19, 18, Attack Barb Camp, No recruits to match strength, , Enemy Str: 51 / 12.5, 
19, 18, Attack Barb Camp, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 18, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Move 24 18
19, 18, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Fortify
19, 18, Attack Barb Camp, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 21:17
19, 18, Attack Barb Camp, Op Attack Units Targets, Target 1, Owner 63, UNIT_SCOUT, 22:17
19, 18, Attack Barb Camp, Operation Attack Units, UNIT_WARRIOR, At 22:16, Move 22:16, Attack 22:17
19, 18, Attack Barb Camp, Operation Attack Units, UNIT_WARRIOR, At 23:17, Move 23:17, Attack 22:17
19, 18, Attack Barb Camp, Operation Attack Units, UNIT_WARRIOR, At 21:15, Move 21:16, Attack 21:17
19, 18, Naval Superiority, No recruits to reach minimum, , , 
19, 18, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 19, Naval Superiority running, TARGET 18:23
19, 19, Naval Superiority, ,0, Not Ready, 
19, 19, Naval Superiority, No recruits to reach minimum, , , 
19, 19, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 20, Naval Superiority running, TARGET 51:30
19, 20, Naval Superiority, ,0, Not Ready, 
19, 20, Naval Superiority, No recruits to reach minimum, , , 
19, 20, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 21, Naval Superiority running, TARGET 94:41
19, 21, Naval Superiority, ,0, Not Ready, 
19, 21, Naval Superiority, No recruits to reach minimum, , , 
19, 21, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 22, Naval Superiority running, TARGET 41:35
19, 22, Naval Superiority, ,0, Not Ready, 
19, 22, Naval Superiority, No recruits to reach minimum, , , 
19, 22, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 23, City Defense, Started
19, 23, Naval Superiority running, TARGET 78:43
19, 23, Naval Superiority, ,0, Not Ready, 
19, 23, Attack Barb Camp running, TARGET 85:43
19, 23, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; 
19, 23, City Defense running, TARGET 79:43
19, 23, City Defense, ,0, Ready, 
19, 23, City Defense, No recruits to reach minimum, , , 
19, 23, City Defense, Recruiting strength, , Enemy Str: 0 / 25.0, UNIT_WARRIOR
19, 23, City Defense, Recruiting strength, , Enemy Str: 0 / 25.0, UNIT_WARRIOR
19, 23, City Defense, Operation Recruit, 2 units, Recruited 2, Contract for: UNIT_WARRIOR_MONK
19, 23, City Defense, Operation Move, UNIT_WARRIOR, 81:40, 79:43, 80:41
19, 23, City Defense, Operation Move, UNIT_WARRIOR, 78:38, 79:43, 79:38
19, 23, Attack Barb Camp, No recruits to reach minimum, , , 
19, 23, Attack Barb Camp, No recruits to match strength, , Enemy Str: 0 / 12.5, 
19, 23, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 23, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 81:44, 84:43, 82:44
19, 23, Naval Superiority, No recruits to reach minimum, , , 
19, 23, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 25, Naval Superiority running, TARGET 37:7
19, 25, Naval Superiority, ,0, Not Ready, 
19, 25, Attack Barb Camp, Started
19, 25, Attack Barb Camp, Recruiting minimums, , , UNIT_WARRIOR
19, 25, Attack Barb Camp, Recruiting minimums, , , UNIT_WARRIOR
19, 25, Attack Barb Camp, Recruiting strength, , Enemy Str: 7 / 0.0, UNIT_WARRIOR
19, 25, Attack Barb Camp, Recruiting strength, , Enemy Str: 7 / 0.0, UNIT_WARRIOR
19, Attack Barb Camp, 25, , Battle line, 36:10, 0 endangered
19, 25, Attack Barb Camp, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
19, Attack Barb Camp, 25, , Battle line, 36:10, 0 endangered
19, 25, Attack Barb Camp, No recruits to reach minimum, , , 
19, 25, Attack Barb Camp, No recruits to match strength, , Enemy Str: 7 / 12.5, 
19, Attack Barb Camp, 25, , Battle line, 36:10, 0 endangered
19, 25, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 25, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 38:10, 34:10, 36:10
19, 25, Naval Superiority, No recruits to reach minimum, , , 
19, 25, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 26, Naval Superiority running, TARGET 76:40
19, 26, Naval Superiority, ,0, Not Ready, 
19, 26, Naval Superiority, No recruits to reach minimum, , , 
19, 26, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 27, Naval Superiority running, TARGET 14:32
19, 27, Naval Superiority, ,0, Not Ready, 
19, 27, Naval Superiority, No recruits to reach minimum, , , 
19, 27, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 28, Naval Superiority running, TARGET 47:42
19, 28, Naval Superiority, ,0, Not Ready, 
19, 28, Naval Superiority, No recruits to reach minimum, , , 
19, 28, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 29, Naval Superiority running, TARGET 87:27
19, 29, Naval Superiority, ,0, Not Ready, 
19, 29, Naval Superiority, No recruits to reach minimum, , , 
19, 29, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 30, Naval Superiority running, TARGET 77:34
19, 30, Naval Superiority, ,0, Not Ready, 
19, 30, Attack Barb Camp running, TARGET 73:29
19, Attack Barb Camp, 30, , Battle line, 74:30, 0 endangered
19, 30, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
19, 30, Attack Barb Camp, No recruits to reach minimum, , , 
19, 30, Attack Barb Camp, No recruits to match strength, , Enemy Str: 12 / 12.5, 
19, 30, Attack Barb Camp, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 30, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Fortify
19, 30, Attack Barb Camp, Op Attack Units Targets, Target 0, Owner 63, UNIT_WARRIOR, 74:30
19, 30, Attack Barb Camp, Operation Attack Units, UNIT_WARRIOR, At 73:28, Move 73:29, Attack -9999:-9999
19, 30, Attack Barb Camp, Attack Target Move Direct, UNIT_WARRIOR, At 76:31, Move -9999:-9999, Arrive 76:31
19, 30, Attack Barb Camp, Attack Target Melee Attack, UNIT_WARRIOR, At 76:31
19, 30, Naval Superiority, No recruits to reach minimum, , , 
19, 30, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 31, Attack Barb Camp running, TARGET 85:43
19, 31, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; 
19, 31, Attack Barb Camp, No recruits to reach minimum, , , 
19, 31, Attack Barb Camp, No recruits to match strength, , Enemy Str: 10 / 12.5, 
19, 31, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
19, 31, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 82:45, 84:43, 83:43
19, 31, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 83:48, 84:43, 82:46
19, 63, Barbarian Attack running, TARGET 16:41
19, Barbarian Attack, 63, , Battle line, 536870930:38, 0 endangered
19, 63, Barbarian Attack, ,0, Ready, UNIT_WARRIOR; UNIT_SLINGER; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_SLINGER; 
19, 63, Barbarian Attack, Op Attack Units Targets, Target 0, Owner 6, UNIT_WARRIOR, 21:39
19, 63, Barbarian Attack, Op Attack Units Targets, Target 1, Owner 6, UNIT_WARRIOR, 16:40
19, 63, Barbarian Attack, Operation Attack Units, UNIT_WARRIOR, At 22:39, Move 22:39, Attack 21:39
19, 63, Barbarian Attack, Operation Attack Units, UNIT_SLINGER, At 16:39, Move 16:39, Attack 16:40
19, 63, Barbarian Attack, Operation Attack Units, UNIT_SLINGER, At 20:38, Move 20:39, Attack -9999:-9999
19, 63, Barbarian Attack, Op Attack Units Targets, Target 0, Owner 6, UNIT_WARRIOR, 21:39
20, 1, Settle New City running, TARGET 67:29
20, 1, Settle New City, ,0, Ready, UNIT_WARRIOR; UNIT_SETTLER; 
20, 1, Naval Superiority running, TARGET 69:34
20, 1, Naval Superiority, ,0, Not Ready, 
20, 1, Attack Barb Camp running, TARGET 60:42
20, Attack Barb Camp, 1, , Battle line, 62:38, 0 endangered
20, 1, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; 
20, 1, Attack Enemy City running, TARGET 57:33
20, Attack Enemy City, 1, , Battle line, 64:35, 0 endangered
20, 1, Attack Enemy City, ,0, Not Ready, UNIT_SLINGER; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
20, 1, Settle New City, No recruits to reach minimum, , , 
20, 1, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 1, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 1, Settle New City, Operation Move, UNIT_SETTLER, 68:32, 67:29, 68:31
20, 1, Settle New City, Operation Move, UNIT_WARRIOR, 65:33, 67:29, 66:33
20, 1, Attack Barb Camp, No recruits to reach minimum, , , 
20, 1, Attack Barb Camp, No recruits to match strength, , Enemy Str: 0 / 10.0, 
20, 1, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 1, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 61:37, 60:41, 60:39
20, Attack Enemy City, 1, , Battle line, 64:35, 0 endangered
20, 1, Attack Enemy City, No recruits to reach minimum, , , 
20, Attack Enemy City, 1, , Battle line, 64:35, 0 endangered
20, 1, Attack Enemy City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 61:38, 63:36, 61:37
20, 1, Attack Enemy City, Operation Move, UNIT_SLINGER, 67:28, 63:35, 67:28
20, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 67:29, 63:36, 68:30
20, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 68:29, 63:36, 68:29
20, 1, Naval Superiority, No recruits to reach minimum, , , 
20, 1, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 2, Barb Camp Tech Boost, Started
20, 2, Settle New City running, TARGET 64:24
20, 2, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
20, 2, Naval Superiority running, TARGET 61:23
20, 2, Naval Superiority, ,0, Not Ready, 
20, 2, Barb Camp Tech Boost running, TARGET 56:15
20, 2, Barb Camp Tech Boost, ,0, Not Ready, 
20, 2, Attack Walled City running, TARGET 57:26
20, 2, Attack Walled City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_SLINGER; 
20, 2, Settle New City, No recruits to reach minimum, , , 
20, 2, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 2, Settle New City, No recruits to reach minimum, , , 
20, 2, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 2, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 2, Settle New City, Operation Move, UNIT_WARRIOR, 63:24, 63:24, 63:24
20, 2, Settle New City, Operation Move, UNIT_WARRIOR, 63:23, 63:23, 63:23
20, 2, Settle New City, Operation Move, UNIT_SETTLER, 62:23, 64:24, 62:23
20, 2, Settle New City, Operation Move, UNIT_WARRIOR, 62:23, 64:24, 62:23
20, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
20, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
20, 2, Barb Camp Tech Boost, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 2, Attack Walled City, Operation complete
20, 2, Naval Superiority, No recruits to reach minimum, , , 
20, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 3, Settle New City running, TARGET 16:27
20, 3, Settle New City, ,0, Not Ready, 
20, 3, Naval Superiority running, TARGET 9:26
20, 3, Naval Superiority, ,0, Not Ready, 
20, 3, Naval Superiority, No recruits to reach minimum, , , 
20, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 4, Settle New City running, TARGET 63:10
20, 4, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
20, 4, Naval Superiority running, TARGET 65:9
20, 4, Naval Superiority, ,0, Not Ready, 
20, 4, Settle New City, No recruits to reach minimum, , , 
20, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 4, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 4, Settle New City, Operation Move, UNIT_SETTLER, 66:10, 63:10, 66:10
20, 4, Settle New City, Operation Move, UNIT_WARRIOR, 66:10, 63:10, 66:10
20, 4, Naval Superiority, No recruits to reach minimum, , , 
20, 4, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 5, Settle New City running, TARGET 20:23
20, 5, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
20, 5, Settle New City, No recruits to reach minimum, , , 
20, 5, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 5, Settle New City, No recruits to reach minimum, , , 
20, 5, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 5, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 5, Settle New City, Operation Move, UNIT_SETTLER, 24:24, 21:24, 23:24
20, 5, Settle New City, Operation Move, UNIT_WARRIOR, 23:24, 21:24, 23:24
20, 6, Settle New City running, TARGET 13:43
20, Settle New City, 6, , Battle line, 17:40, 0 endangered
20, 6, Settle New City, ,0, Ready, UNIT_WARRIOR; UNIT_SETTLER; UNIT_WARRIOR; 
20, 6, Barb Camp Tech Boost running, TARGET 12:44
20, 6, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; 
20, Settle New City, 6, , Battle line, 17:40, 0 endangered
20, 6, Settle New City, No recruits to reach minimum, , , 
20, 6, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 6, Settle New City, No recruits to reach minimum, , , 
20, 6, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, Settle New City, 6, , Battle line, 17:40, 0 endangered
20, 6, Settle New City, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 6, Settle New City, Op Attack Units Targets, Target 0, Owner 63, UNIT_SLINGER, 16:39
20, 6, Settle New City, Operation Attack Units, UNIT_WARRIOR, At 16:40, Move 16:40, Attack 16:39
20, 6, Settle New City, Operation Move, UNIT_SETTLER, 17:43, 15:41, 16:41
20, 6, Settle New City, Operation Move, UNIT_WARRIOR, 16:41, 15:41, 16:41
20, 6, Barb Camp Tech Boost, No recruits to reach minimum, , , 
20, 6, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 6, Barb Camp Tech Boost, No recruits to reach minimum, , , 
20, 6, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 0 / 20.0, 
20, 6, Barb Camp Tech Boost, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 6, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 17:45, 13:44, 16:45
20, 7, Settle New City running, TARGET 35:42
20, 7, Settle New City, ,0, Not Ready, UNIT_WARRIOR; 
20, 7, Naval Superiority running, TARGET 44:44
20, 7, Naval Superiority, ,0, Not Ready, 
20, 7, Settle New City, No recruits to reach minimum, , , 
20, 7, Settle New City, No recruits to reach minimum, , , 
20, 7, Settle New City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_SETTLER
20, 7, Settle New City, Operation Move, UNIT_WARRIOR, 39:46, 39:46, 39:46
20, 7, Naval Superiority, No recruits to reach minimum, , , 
20, 7, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 8, Settle New City running, TARGET 39:12
20, Settle New City, 8, , Battle line, 33:13, 0 endangered
20, 8, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; 
20, 8, Naval Superiority running, TARGET 33:17
20, 8, Naval Superiority, ,0, Not Ready, 
20, 8, Attack Barb Camp, Started
20, Settle New City, 8, , Battle line, 33:13, 0 endangered
20, 8, Settle New City, No recruits to reach minimum, , , 
20, 8, Settle New City, No recruits to match strength, , Enemy Str: 0 / 28.0, 
20, Settle New City, 8, , Battle line, 33:13, 0 endangered
20, 8, Settle New City, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
20, 8, Settle New City, Operation Move, UNIT_WARRIOR, 36:15, 39:12, 34:15
